Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Beach,Area,Mile Marker,High Tide Dist.,Longitude,Latitude,Est. / Exact,Length,Width,Weight,Sex,Entangled?,Entangling Item,Injured?,Injury Desc.,Notes
15-09-85,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"HUNTINGTON BEACH, SOUTH BOLSA CHICA STATE BEACH",CALIFORNIA,,,,,,,,,,,,,,"Original Weight on form was 20 lbs. VERY DECOMPOSED; SHELL BROKEN & HEAD SMASHED BY PRIVATE CITIZENS.  Contact: DAVID GRAHAM, CALIFORNIA DEPARTMENT OF PARKS AND RECREATION, OCEANO"
20-10-85,00:00,,,Turtle,Green sea turtle,,Moderate Decomposition,"REDONDO BEACH, REDONDO BEACH GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,"Original Length on form was 22 IN.  Original CCL on form was 22 in. LENGTH = CURVILINEAR CARAPACE LENGTH; PLATES SLOUGHING FROM CARAPACE; DAMAGED SPECIMEN; SEEMS TO HAVE ENTERED ALIVE; DIED IN PIPES OR HEAT TREATMENT; NOT REPORTED TO K HERBINSON, SOUTHERN"
02-10-86,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,"Original Weight on form was 40 lbs. ACCIDENTAL ENTRAPMENT IN COOLING WATER INTAKE, PHOTOS TAKEN; RELEASED BY FRIENDS OF SEA LIONS.  Contact: DUNKEN TURRENTINE, SAN ONOFRE NUCLEAR GENERATING STATION, SAN ONOFRE"
19-06-88,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"LA JOLLA, BEACH NORTH OF SCRIPP'S PIER, JUST BELOW SOUTHWEST FISHERIES SCIENCE CENTER BUILDING",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 18 IN.  SHELL CRUSHED
29-07-88,00:00,,,Turtle,Green sea turtle,,Moderate Decomposition,"LONG BEACH, ALAMITOS BAY, AT RUSTY PELICAN RESTAURANT",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 100 CM.  Original Weight on form was 125 lbs. TWO PROPELLER-LIKE SLASHES IN CARAPACE; RECORDED LENGTH = HEAD TO TAIL LENGTH
29-09-88,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN ONOFRE, SAN ONOFRE NUCLEAR GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,"ANIMAL CAPTURED IN POWER PLANT INTAKE CHANNEL; NO APPARENT INJURIES; ANIMAL TRANSPORTED & RELEASED IN DANA POINT, JUST SOUTH OF DANA POINT HARBOR ENTRANCE; RECORDED LENGTH = HEAD TO TAIL LENGTH"
22-11-88,00:00,,,Turtle,Green sea turtle,,ALIVE,,CALIFORNIA,,,,,,,,,,,,,,
22-12-88,00:00,,,Turtle,Green sea turtle,,ALIVE,"SAN DIEGO, SAIL BAY AREA,  FOOT OF CASS STREET, MISSION BAY",CALIFORNIA,,,,,,,,,,,,,,ILLNESS
12-02-89,00:00,,,Turtle,Green sea turtle,,ALIVE,,CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 18 IN.  Original Weight on form was 17 lbs.  ANIMAL WAS BROUGHT TO SEAWORLD BY AN UNIDENTIFIED PERSON WHO SAID THEY HAD RAISED IT IN A HOME AQUARIUM FOR 5 YEARS
12-02-89,00:00,,,Turtle,Green sea turtle,,,,CALIFORNIA,,,,,,,,,,,,,,"Original Length on form was 18 IN.  Original Weight on form was 17 lbs.  Contact: MIKE SHAW, SEAWORLD SAN DIEGO"
17-02-89,00:00,,,Turtle,Green sea turtle,,ALIVE,"BIG SUR, PARTINGTON COVE, 50-75 YARDS OFFSHORE",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 28 IN.  Original CCL on form was 28.5 in. Original Weight on form was 99 lbs. TURTLE BROUGHT INTO SHORE BY 3 SURFERS & TAKEN TO MONTEREY BAY AQUARIUM; AQUARIUM PERSONNEL TRANSFERRED TURTLE TO SEAWORLD IN SAN DIEGO ON 02/25/89; 
26-05-89,00:00,,,Turtle,Green sea turtle,,Advanced Decomposition,"CARLSBAD, CARLSBAD STATE BEACH, NEAR TAMARACK AVENUE",CALIFORNIA,,,,,,,,,,,,,,LARGE PORTION OF SKULL EXPOSED DUE TO ROLLING IN SURF; NO APPARENT WOUNDS
23-07-89,00:00,,,Turtle,Green sea turtle,,ADVANCED DECOMPOSITION,"SUMMERLAND, LOOKOUT PARK",CALIFORNIA,,,,,,,,,,,,,,Original Weight on form was 40 lbs. CARCASS BADLY DECOMPOSED; HEAD & PARTS OF FRONT & HIND FLIPPERS MISSING; ANTERIOR PORTION OF LEFT SIDE OF CARAPACE BROKEN
01-08-89,00:00,,,Turtle,Green sea turtle,,ALIVE,"PLAYA DEL REY, SCATTERGOOD GENERATING STATION",CALIFORNIA,,,,,,,,,,,,,,Original Length on form was 20 IN.  Original CCL on form was 20 in. Original Weight on form was 75 lbs. ANIMAL ENTERED CIRCULATED WATER SCREEN BAY THROUGH INTAKE TUNNEL; ANIMAL REMOVED BY CALIFORNIA DEPARTMENT OF FISH & GAME PERSONNEL & RELEASED OFF OF FL
17-11-89,00:00,,,Turtle,Green Sea Turtle,,Live,,"Ocean Shores, WA",,,,,,,,,,,,,,
17-11-89,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live,"Ocean Shores, WA",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,
22-01-90,00:00,,,Turtle,Green Sea Turtle,,Dead,,"Cannon Beach, OR",,,,,,,,,,,,,,
22-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,"Cannon Beach, OR",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,
27-01-90,00:00,,,Turtle,Green Sea Turtle,,Dead,,"Sunset Beach, OR",,,,,,,,,,,,,,
27-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,"Sunset Beach, OR",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,
29-01-90,00:00,,,Turtle,Green Sea Turtle,,Live,,Copalis Beach WA,,,,,,,,,,,,,,
29-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live,Copalis Beach WA,,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,
30-01-90,00:00,,,Turtle,Green Sea Turtle,,Dead,,"Klipsan Beach, WA",,,,,,,,,,,,,,
30-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,"Klipsan Beach, WA",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,
03-02-90,00:00,,,Turtle,Green Sea Turtle,,Dead,,"Twin Harbors, WA",,,,,,,,,,,,,,*
03-02-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,"Twin Harbors, WA",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,*
09-02-90,00:00,,,Turtle,Green Sea Turtle,,Live,,"Sunset Beach, Or",,,,,,,,,,,,,,
09-02-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live,"Sunset Beach, OR",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,
